,0
0,2.2346488809998846
1,0.03416044400000828
2,0.03791781799736782
3,0.0562957779984572
4,0.0338776249991497
5,0.05236162800065358
6,0.039235557000210974
7,0.03531739699974423
8,0.08157717200083425
9,0.06789319000017713
10,0.055036870999174425
11,0.03450809399873833
12,0.03598657600014121
13,0.051752572999248514
14,0.053583410001010634
15,0.05472019800072303
16,0.051678313000593334
17,0.03299052500005928
18,7075591.0
19,18393.0
20,13441.0
21,13442.0
22,13495.0
23,13607.0
24,13495.0
25,13609.0
26,13570.0
27,18689.0
28,13663.0
29,13439.0
30,13439.0
31,13207.0
32,14370.0
33,13403.0
34,13383.0
35,13383.0
